2018-12-14 07:43:15.828724 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:16.832738 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:43:17.836884 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:43:19.343374 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:43:20.377709 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:21.351089 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:22.367348 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:23.371497 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:24.363422 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:25.367476 HST-1000 | $RXPNS,B,0,G,8858*7F
2018-12-14 07:43:26.875228 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:27.877681 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:28.881788 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:29.885920 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:43:30.891268 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:31.894032 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:43:32.898145 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:43:34.404284 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:43:35.408378 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:43:36.412498 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:37.416984 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:38.420743 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:39.424834 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:40.428918 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:41.934981 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:42.939134 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:43.943214 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:44.947381 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:45.951425 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:43:46.963851 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:43:47.959621 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:49.465781 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:50.469880 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:51.473946 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:52.478107 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:53.492968 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:54.486242 HST-1000 | $RXPNS,B,0,G,8858*7F
2018-12-14 07:43:55.492399 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:56.996478 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:58.000611 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:59.004701 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:44:00.008825 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:44:01.012899 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:44:02.016981 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:44:03.021046 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:44:04.527196 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:44:05.531999 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:06.535393 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:07.551665 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:08.543618 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:09.566269 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:10.551777 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:12.058015 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:13.062057 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:44:14.066123 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:44:15.070680 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:44:16.074347 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:17.078350 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:18.082481 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:44:19.588631 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:44:20.604934 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:21.596831 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:44:22.600867 HST-1000 | $RXPNS,B,0,G,8858*7F
2018-12-14 07:44:23.605023 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:24.622331 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:25.613119 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:27.119336 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:28.123418 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:29.127536 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:44:30.131610 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:44:31.135738 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:44:32.139841 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:44:33.143930 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:34.650018 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:35.654701 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:36.659701 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:37.674861 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:38.666426 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:39.670594 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:40.674666 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:42.185412 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:44:43.184885 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:44:44.188972 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:44:45.193026 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:44:46.197201 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:47.201314 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:44:48.205515 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:49.711579 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:44:50.715600 HST-1000 | $RXPNS,B,0,G,8858*7F
2018-12-14 07:44:51.732081 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:52.723780 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:53.728780 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:54.731993 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:55.748514 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:44:57.242267 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:44:58.246338 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:44:59.250458 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:00.266737 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:01.258603 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:02.281657 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:03.279732 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:04.772932 HST-1000 | $RXPNS,B,0,G,8858*7F
2018-12-14 07:45:05.776994 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:06.781138 HST-1000 | $RXPNS,B,0,G,8893*78
