2018-12-14 08:56:54.779213 HST-1000 | 192.168.1.25 | $RXHRB,141218,035337,21.3100060391,S,-157.88896543,W,GATR,2,1*60
2018-12-14 08:56:55.791143 HST-1000 | 192.168.1.25 | $RXHRB,141218,035338,21.3100060391,S,-157.88896543,W,GATR,2,1*6F
2018-12-14 08:56:56.786637 HST-1000 | 192.168.1.25 | $RXHRB,141218,035339,21.3100060391,S,-157.88896543,W,GATR,2,1*6E
2018-12-14 08:56:57.793968 HST-1000 | 192.168.1.25 | $RXHRB,141218,035340,21.3100060391,S,-157.88896543,W,GATR,2,1*60
2018-12-14 08:56:58.796429 HST-1000 | 192.168.1.25 | $RXHRB,141218,035341,21.3100060391,S,-157.88896543,W,GATR,2,1*61
2018-12-14 08:56:59.782726 HST-1000 | 192.168.1.25 | $RXHRB,141218,035342,21.3100060391,S,-157.88896543,W,GATR,2,1*62
2018-12-14 08:57:00.791294 HST-1000 | 192.168.1.25 | $RXHRB,141218,035343,21.3100060391,S,-157.88896543,W,GATR,2,1*63
2018-12-14 08:57:01.801631 HST-1000 | 192.168.1.25 | $RXHRB,141218,035344,21.3100060391,S,-157.88896543,W,GATR,2,1*64
2018-12-14 08:57:02.802896 HST-1000 | 192.168.1.25 | $RXHRB,141218,035345,21.3100060391,S,-157.88896543,W,GATR,2,1*65
2018-12-14 08:57:03.781638 HST-1000 | 192.168.1.25 | $RXHRB,141218,035346,21.3100060391,S,-157.88896543,W,GATR,2,1*66
2018-12-14 08:57:04.779132 HST-1000 | 192.168.1.25 | $RXHRB,141218,035347,21.3100060391,S,-157.88896543,W,GATR,2,1*67
2018-12-14 08:57:05.784979 HST-1000 | 192.168.1.25 | $RXHRB,141218,035348,21.3100039356,S,-157.88896543,W,GATR,2,1*6F
2018-12-14 08:57:06.782157 HST-1000 | 192.168.1.25 | $RXHRB,141218,035349,21.3100039356,S,-157.88896543,W,GATR,2,1*6E
2018-12-14 08:57:07.793397 HST-1000 | 192.168.1.25 | $RXHRB,141218,035350,21.3100039356,S,-157.88896543,W,GATR,2,1*66
2018-12-14 08:57:08.845872 HST-1000 | 192.168.1.25 | $RXHRB,141218,035351,21.3100039356,S,-157.88896543,W,GATR,2,1*67
2018-12-14 08:57:09.764874 HST-1000 | 192.168.1.25 | $RXHRB,141218,035352,21.3100039356,S,-157.88896543,W,GATR,2,1*64
2018-12-14 08:57:10.781413 HST-1000 | 192.168.1.25 | $RXHRB,141218,035353,21.3100039356,S,-157.88896543,W,GATR,2,1*65
2018-12-14 08:57:11.778365 HST-1000 | 192.168.1.25 | $RXHRB,141218,035354,21.3100039356,S,-157.88896543,W,GATR,2,1*62
2018-12-14 08:57:12.773348 HST-1000 | 192.168.1.25 | $RXHRB,141218,035355,21.3100060391,S,-157.88896543,W,GATR,2,1*64
2018-12-14 08:57:13.768652 HST-1000 | 192.168.1.25 | $RXHRB,141218,035356,21.3100060391,S,-157.88896543,W,GATR,2,1*67
2018-12-14 08:57:14.771193 HST-1000 | 192.168.1.25 | $RXHRB,141218,035357,21.3100060391,S,-157.88896543,W,GATR,2,1*66
2018-12-14 08:57:15.777335 HST-1000 | 192.168.1.25 | $RXHRB,141218,035358,21.3100060391,S,-157.88896543,W,GATR,2,1*69
